City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Santa Cruz,BO,-17.8,-63.1667,83.66,51,75,17.27,broken clouds
302,Belmonte,BR,-15.8631,-38.8828,84.2,87,96,9.51,overcast clouds
303,Kandrian,PG,-6.2167,149.55,75.96,89,100,2.84,overcast clouds
304,Scunthorpe,GB,53.579,-0.6544,49.64,94,100,20.0,overcast clouds
305,Bathsheba,BB,13.2167,-59.5167,75.81,88,75,9.22,broken clouds
306,Puerto Suarez,BO,-18.95,-57.8,100.54,29,77,2.19,broken clouds
307,Preeceville,CA,51.95,-102.6677,19.31,86,100,19.69,overcast clouds
308,Abaete,BR,-19.16,-45.4458,79.07,71,77,4.68,broken clouds
309,Henties Bay,NA,-22.116,14.2845,73.85,80,9,6.49,light rain
310,Broome,US,42.2506,-75.833,25.02,59,100,9.22,overcast clouds
311,Meulaboh,ID,4.1363,96.1285,76.59,89,74,3.62,broken clouds
312,Cap Malheureux,MU,-19.9842,57.6142,81.46,77,100,5.01,overcast clouds
313,Jasper,US,37.2001,-94.3502,44.28,38,0,11.5,clear sky
314,Grafton,US,42.207,-71.6856,30.74,81,100,4.61,overcast clouds
315,Pitimbu,BR,-7.4706,-34.8086,88.39,65,2,10.6,clear sky
316,Hamilton,US,39.1834,-84.5333,29.59,57,75,3.44,broken clouds
317,Kloulklubed,PW,7.0419,134.2556,79.3,82,100,19.46,overcast clouds
318,Kavieng,PG,-2.5744,150.7967,80.62,77,88,4.92,overcast clouds
319,Keetmanshoop,NA,-26.5833,18.1333,76.12,64,38,8.05,scattered clouds
320,Charleston,US,32.7766,-79.9309,63.27,75,40,8.05,scattered clouds
321,Grindavik,IS,63.8424,-22.4338,28.87,93,75,6.91,snow
322,Tautira,PF,-17.7333,-149.15,84.22,77,94,16.73,light rain
323,Margate,GB,51.3813,1.3862,48.31,84,100,11.01,light rain
324,Khuzhir,RU,53.1939,107.3397,-3.86,95,87,12.26,overcast clouds
325,Marawi,PH,7.9986,124.2928,64.65,92,99,2.55,overcast clouds
326,Yingkou,CN,40.6648,122.2283,17.67,91,100,12.77,light snow
327,Kungurtug,RU,50.5994,97.5228,-17.7,98,80,1.5,broken clouds
328,Buchanan,LR,5.8808,-10.0467,85.96,74,73,10.2,broken clouds
329,Rosa Zarate,EC,0.3333,-79.4667,78.04,82,100,1.23,overcast clouds
330,Caramay,PH,10.1815,119.236,77.31,85,100,3.04,overcast clouds
331,Vao,NC,-22.6667,167.4833,78.28,84,100,7.72,overcast clouds
332,Savigliano,IT,44.644,7.6559,45.18,49,100,3.44,overcast clouds
333,Dunedin,NZ,-45.8742,170.5036,52.81,83,57,5.01,broken clouds
334,Viransehir,TR,37.2353,39.7631,47.55,50,57,4.34,broken clouds
335,Pangnirtung,CA,66.1451,-65.7125,-29.2,75,0,9.22,clear sky
336,Moba,CN,33.2288,105.0179,29.97,88,81,2.3,broken clouds
337,Riachao Do Jacuipe,BR,-11.8069,-39.3856,88.84,45,85,7.2,light rain
338,Eirunepe,BR,-6.6603,-69.8736,79.21,92,100,3.38,light rain
339,Tual,ID,-5.6667,132.75,81.84,74,100,9.08,overcast clouds
340,Itarema,BR,-2.9248,-39.9167,85.44,63,39,15.21,scattered clouds
341,Beringovskiy,RU,63.05,179.3167,-27.81,97,10,5.32,clear sky
